id,geom,n,smiles,refcodes
SP0,SP,2,CC(C)c1cccc(C(C)C)c1[N:1]=C1C(=[N:1]c2c(C(C)C)cccc2C(C)C)c2cccc3cccc1c23,KOSCUT;KOSDAA;DIPREB
SP1,SP,2,COc1ccccc1[P:1](CCC[P:1](c1ccccc1OC)c1ccccc1OC)c1ccccc1OC,LONWUJ
SP2,SP,2,c1cc[n:1]c(-c2cccc[n:1]2)c1,LONWUJ;LOYFOX;ABPPDN;ABPPDN;AJEXES;AYAMIW;AYEJUK;AYEJUK;AYEJUK01;AYEJUK01;BEBBUG;BEFHUP10;BELFAB;BELFEF;BELFIJ;BENFAD;BIZCEV;CIWKUO10;CIWKUO10;CIWKUO11;CIWKUO11;CIWKUO12;CIWKUO12;DATNOB;EDULUN;ETEYOS;FAPCEE;FAPCEE;FARZUT;FARZUT;FARZUT;FEMBUV;FEXROP;FIKVOK;FUYWUS;GOFPID;HINCOW;IJIBOS;IJIBOS;IPIGUJ;IRAFOX;IROLOQ;ITOCOK;JAXQOP;JAXQOP;JAXQOP01;JAXQOP01;JOCNOG;JOCNUM;JOWXIF;JOYWAV;JOYWAV;KAGQOZ;KIRQIL;KIRQOR;KIRQUX;KUWTIG;KUWTOM;KUWTUS;LEWQAF;LIQTUB;MASDOB;MOYCIN;MOYCIN;MUVDEM;MUVDEM;NARCIT;NARCIT;NOXXON;NOXXON;NUSGUF;OCIZEF;OJEVEE;OMUCIK;OYUHIA;PYPTCR;PYPTCR;QOJJEE;QOJJOO;REMMIF;RIGLIE;RULVUQ;RULWAX;RUVBOA;SUQKOG;TCQDPT;TCQDPT;TITFUZ;TOHTOZ;TUNQAW;UJOPEO;VILJOR;WEWBUX;YIGMIK;YIGMIK;YIXZUB;YIXZUB
SP3,SP,2,c1ccc2c(C[NH:1]CCC[NH2:1])c3ccccc3cc2c1,LOYFOX;JOWXIF
SP4,SP,4,c1ccc([P:1](CC[N-:1]CC[N-:1]CC[P:1](c2ccccc2)c2ccccc2)c2ccccc2)cc1,QUBDID
SP5,SP,2,COC(=O)CC[P:1](CCC(O)OC)CC[P:1](c1ccccc1)c1ccccc1,QUCNOU;QUCNOU
SP6,SP,4,C1C[NH:1]CC[NH:1]CCC[NH:1]CC[NH:1]C1,ROYBAL;WOVHIB;BUXSES;BUXSES10;BUXSIW;BUXSIW10;BUXSIW11;DUJSUW;HONFAU;IROLAD;IXIYOD;PABJIM;QASKIF;RAGJOA;RAPKOL
SP7,SP,2,CN1C=C[N+](CN2C=C[N+](C)=[C-:1]2)=[C-:1]1,SUDBIF;SUDBOL;SUDBUR;SUDCEC;SUDCIG;ADISOX;DOMHAP;DOMHAP;GEPROL;GEPROL;KESZEQ;REFQID;REFQID;UMUFIS;YUWFUR;YUWFUR;XACKER01
SP8,SP,2,c1ccc([P:1](CC[P:1](c2ccccc2)c2ccccc2)c2ccccc2)cc1,SUDBIF;BEDSIM;BEDSIM;BOHPUK;CABPEB;CADGEW;CULYOX;DACFIY;DAGCOF;DAGCOF;DEBXIR;DEBXIR;DEBXOX;DEBXOX;ETADIM;ETADIM;FUNRUC;GAFCAT;GICPUE;NIDYOQ;OLAGEP;OLAGEP;PECEPT;PECEPT;PESKED;QADYEZ;QICSOM;UFAWEG;UFAWEG;UFAWUW;UFAWUW;UNACIV;UNACIV;UNACOB;UNACOB;VOGWUJ;WACBUX;WACBUX;XETWAU;XIQPEU;XIQPIY;XIQPIY01;YIVMIC;YIVMIC01;LOWVUR;LOWVUR
SP9,SP,2,c1ccc([P:1](CCC[P:1](c2ccccc2)c2ccccc2)c2ccccc2)cc1,SUDBOL;ACIVAJ;ACIVEN;EZUMAP;GICQAL;KIPMUU;KIPMUU;KIPNEF;KIPNEF;LEWGOJ;LEWGOJ10;LOTMEM;MADDEB;MOYGOY;MOYGOY;MURLIU;MURLOA;MURLUG;OCIZEF;SAPZEP;TATXUH;TIJRUZ;TOHTOZ;UCUVEU;VETTOF;VETTUL;VETVAT;VETVEX;VETVIB;VETVOH;VETVUN;VETWAU;VETWEY;VETWIC;VETWOI;VETWUO;VETXAV;VETXEZ;VETXOJ;VETXUP;VETYAW;XAVMOX;YOSVUX;ZAGCUF;ZIQQIZ
